year,month,day,avg_temperature,precipitation
2020,12,4,5.05,0.0
2020,12,3,3.34,0.0
2020,12,2,3.05,0.0
2020,12,1,3.9,0.0
2020,11,30,7.44,3.9
2020,11,29,3.65,0.2
2020,11,28,5.4,0.0
2020,11,27,8.65,1.2
2020,11,26,6.1,2.4
2020,11,25,6.19,1.2
2020,11,24,6.8,9.5
2020,11,23,6.25,9.4
2020,11,22,4.5,2.5
2020,11,21,5.5,0.0
2020,11,20,7.95,2.8
2020,11,19,6.35,5.3
2020,11,18,7.65,16.9
2020,11,17,9.65,4.5
2020,11,16,6.9,20.5
2020,11,15,8.15,1.3
2020,11,14,5.19,5.6
2020,11,13,6.4,31.7
2020,11,12,4.59,22.8
2020,11,11,2.15,0.0
2020,11,10,3.5,3.7
2020,11,9,1.35,2.1
2020,11,8,2.95,0.0
2020,11,7,6.4,0.0
2020,11,6,6.65,0.0
2020,11,5,10.05,0.0
2020,11,4,13.45,7.2
2020,11,3,10.1,34.6
2020,11,2,7.8,0.0
2020,11,1,6.35,0.0
2020,10,31,5.55,0.0
2020,10,30,10.0,3.6
2020,10,29,11.85,0.0
2020,10,28,11.8,0.0
2020,10,27,7.69,0.0
2020,10,26,4.55,0.6
2020,10,25,0.85,0.0
2020,10,24,5.2,0.0
2020,10,23,5.6,12.8
2020,10,22,7.4,0.0
2020,10,21,9.25,0.0
2020,10,20,9.9,0.0
2020,10,19,11.5,0.0
2020,10,18,10.15,10.8
2020,10,17,11.5,0.5
2020,10,16,11.8,2.7
2020,10,15,8.55,0.3
2020,10,14,10.5,0.0
2020,10,13,12.0,13.9
2020,10,12,11.25,0.0
2020,10,11,9.39,14.4
2020,10,10,13.55,12.0
2020,10,9,14.1,15.7
2020,10,8,15.6,0.0
2020,10,7,12.3,0.0
2020,10,6,12.85,0.0
2020,10,5,13.2,0.0
2020,10,4,14.0,0.2
2020,10,3,14.1,0.0
2020,10,2,14.2,0.0
2020,10,1,14.85,0.0
2020,9,30,15.5,0.0
2020,9,29,13.7,0.0
2020,9,28,13.35,0.0
2020,9,27,13.0,0.0
2020,9,26,12.65,2.6
2020,9,25,15.95,7.8
2020,9,24,15.85,12.8
2020,9,23,15.9,29.6
2020,9,22,16.45,0.8
